CIDADE,1/15,2/15,3/15,4/15,5/15,6/15,7/15,8/15,9/15,10/15,11/15,12/15,TOTAL
Blumenau,,,,1,1,,1,,1,1,,,5
Brasilia,1,1,1,1,1,1,1,,1,,,,8
Campinas,1,1,,,1,1,1,,1,,1,,7
Curitiba,,,1,,,,,,,1,,1,3
Florianópolis,,,,,,,,1,1,1,,,3
Fortaleza,1,,1,,1,,,1,,1,1,,6
Goiania,1,1,1,1,1,1,1,,,,,,7
Juiz de Fora,,,,1,,1,1,,1,,,,4
Jundiaí,,,,,,,,,,1,,,1
Maceió,,,,,1,,,,1,,,,2
Porto Alegre,,1,,,,,,,,,,,1
Recife,,,,,,,,,,1,,,1
Rio de Janeiro,,,1,,1,,1,1,,,1,1,6
São Paulo,1,1,1,1,1,1,1,1,1,1,1,,11
Tatuí,,1,1,,1,,,,,,,,3
Teresina,,,,1,,,,,1,,,1,3
TOTAL,5,6,7,6,9,5,7,4,8,7,4,3,71
