CIDADE,1/15,2/15,3/15,4/15,5/15,6/15,7/15,8/15,9/15,10/15,11/15,12/15,TOTAL
Blumenau,,,,31,20,,20,,8,14,,,93
Brasilia,21,27,18,23,20,19,17,,16,,,,161
Campinas,41,40,,,25,38,40,,35,,45,,264
Curitiba,,,13,,,,,,,5,,4,22
Florianópolis,,,,,,,,39,57,34,,,130
Fortaleza,30,,39,,35,,,59,,40,20,,223
Goiania,27,14,10,28,22,15,35,,,,,,151
Juiz de Fora,,,,35,,20,19,,11,,,,85
Jundiaí,,,,,,,,,,52,,,52
Maceió,,,,,15,,,,17,,,,32
Porto Alegre,,70,,,,,,,,,,,70
Recife,,,,,,,,,,25,,,25
Rio de Janeiro,,,24,,17,,20,48,,,45,38,192
São Paulo,45,128,42,28,26,46,23,32,37,50,35,,492
Tatuí,,24,105,,38,,,,,,,,167
Teresina,,,,14,,,,,10,,,15,39
TOTAL,164,303,251,159,218,138,174,178,191,220,145,57,2198
